,title,Critic Score,Audience_Score,Genre,director,studio
297,ROSEMARY'S BABY,99,87,Horror,Roman Polanski,Paramount Pictures
298,REBECCA,100,92,Drama,Alfred Hitchcock,United Artists
299,FRANKENSTEIN,100,87,Horror,James Whale,Universal Pictures Company
300,ON THE WATERFRONT,98,95,Drama,Elia Kazan,Sony Pictures
301,THE GRAPES OF WRATH,100,88,Drama,Elia Kazan,Sony Pictures
302,ROMAN HOLIDAY,98,94,Drama,William Wyler,Paramount Pictures
303,THE LAST PICTURE SHOW,100,90,Drama,William Wyler,Paramount Pictures
304,THE LADY VANISHES,98,88,Mystery & Suspense,Alfred Hitchcock,Gaumont British Picture Corporation
305,COOL HAND LUKE,100,95,Drama,Stuart Rosenberg,Warner Bros.
306,CHINATOWN,98,93,Drama,Roman Polanski,Paramount Pictures
307,BATTLESHIP POTEMKIN,100,85,Drama,Sergei M. Eisenstein,Kino International
308,ANATOMY OF A MURDER,100,90,Drama,Otto Preminger,Sony Pictures Home Entertainment
311,RIO BRAVO,100,91,Classics,Charles Chaplin,Janus Films
312,THE 39 STEPS,96,86,Classics,Charles Chaplin,Janus Films
313,SWEET SMELL OF SUCCESS,98,92,Drama,Alexander Mackendrick,United Artists
314,INVASION OF THE BODY SNATCHERS,98,85,Drama,Alexander Mackendrick,United Artists
315,TO BE OR NOT TO BE,98,93,Drama,Alexander Mackendrick,United Artists
316,THE BIG SLEEP,96,91,Drama,Howard Hawks,Warner Bros. Pictures
317,MIRACLE ON 34TH STREET,96,86,Romance,George Seaton,20th Century Fox
318,THE AFRICAN QUEEN,98,86,Romance,George Seaton,20th Century Fox
319,MARY POPPINS,100,86,Kids & Family,Robert Stevenson,Walt Disney Productions
320,CITIZEN KANE,100,90,Drama,Orson Welles,RKO Radio Pictures
321,MOONLIGHT,98,79,Drama,Orson Welles,RKO Radio Pictures
322,ALL ABOUT EVE,100,94,Drama,Orson Welles,RKO Radio Pictures
323,METROPOLIS,99,92,Drama,Orson Welles,RKO Radio Pictures
325,SPOTLIGHT,97,93,Mystery & Suspense,Tom McCarthy,Open Road Films
326,SELMA,99,86,Mystery & Suspense,Tom McCarthy,Open Road Films
327,CASABLANCA,97,95,Mystery & Suspense,Tom McCarthy,Open Road Films
328,THE GODFATHER,98,98,Drama,Francis Ford Coppola,Paramount Pictures
330,BOYHOOD,97,80,Drama,Richard Linklater,IFC Films
331,THE BATTLE OF ALGIERS (LA BATTAGLIA DI ALGERI),99,95,Art House & International,Gillo Pontecorvo,Rialto Pictures
332,ARRIVAL,94,82,Drama,Denis Villeneuve,21 Laps Entertainment
334,12 YEARS A SLAVE,95,90,Drama,Steve McQueen (III),Fox Searchlight
335,ARGO,96,90,Mystery & Suspense,Ben Affleck,Warner Bros. Pictures
336,SUNSET BOULEVARD,98,95,Mystery & Suspense,Ben Affleck,Warner Bros. Pictures
337,REAR WINDOW,100,95,Mystery & Suspense,Ben Affleck,Warner Bros. Pictures
338,GRAVITY,95,80,Drama,Alfonso Cuarón,Warner Bros. Pictures
339,ALIEN,97,94,Drama,Ridley Scott,20th Century Fox
340,BABY DRIVER,93,86,Drama,Edgar Wright,Sony Pictures
341,BICYCLE THIEVES (LADRI DI BICICLETTE),98,94,Drama,Vittorio De Sica,ENIC
343,TAXI DRIVER,98,93,Mystery & Suspense,Martin Scorsese,Columbia Pictures
345,MANCHESTER BY THE SEA,95,77,Drama,Kenneth Lonergan,Amazon Studios
346,TOUCH OF EVIL,96,92,Drama,Kenneth Lonergan,Amazon Studios
347,M,100,95,Drama,Fritz Lang,Foremco
348,THE TREASURE OF THE SIERRA MADRE,100,93,Drama,Fritz Lang,Foremco
349,12 ANGRY MEN (TWELVE ANGRY MEN),100,97,Drama,Fritz Lang,Foremco
350,HELL OR HIGH WATER,97,88,Drama,Fritz Lang,Foremco
353,ARMY OF SHADOWS (L'ARMÉE DES OMBRES),97,94,Art House & International,Jean-Pierre Melville,Rialto Pictures LLC.
354,THE NIGHT OF THE HUNTER,98,90,Mystery & Suspense,Charles Laughton,United Artists
356,BROOKLYN,97,87,Drama,John Crowley,Fox Searchlight Pictures
357,THE BABADOOK,98,72,Drama,Jennifer Kent,IFC Films
358,THE CONFORMIST,100,91,Art House & International,Bernardo Bertolucci,Paramount Pictures
359,LAWRENCE OF ARABIA,98,93,Art House & International,Bernardo Bertolucci,Paramount Pictures
363,THE DARK KNIGHT,94,94,Drama,Christopher Nolan,Warner Bros. Pictures/Legendary
364,THE WRESTLER,98,88,Drama,Darren Aronofsky,Fox Searchlight Pictures
365,L.A. CONFIDENTIAL,99,94,Drama,Darren Aronofsky,Fox Searchlight Pictures
366,THE WAGES OF FEAR,100,95,Drama,Darren Aronofsky,Fox Searchlight Pictures
367,TOKYO STORY (TÔKYÔ MONOGATARI),100,93,Art House & International,Yasujiro Ozu,BFI Production
368,JAWS,97,90,Drama,Steven Spielberg,Universal Pictures
370,CAROL,95,73,Drama,Todd Haynes,The Weinstein Company
371,THE GRAPES OF WRATH,100,88,Drama,John Ford,Twentieth Century Fox Home Entertainment
372,CREED,95,89,Drama,Ryan Coogler,Warner Bros.
373,HARRY POTTER AND THE DEATHLY HALLOWS - PART 2,96,89,Drama,David Yates (II),Warner Bros. Pictures
375,THE HURT LOCKER,97,84,Drama,Kathryn Bigelow,Summit Entertainment
376,THE LAST PICTURE SHOW,100,90,Drama,Peter Bogdanovich,Columbia Pictures
378,"THE GODFATHER, PART II",97,97,Mystery & Suspense,Francis Ford Coppola,Paramount Pictures
381,WHIPLASH,94,94,Drama,Damien Chazelle,Sony Pictures Classics
382,PATERSON,96,71,Drama,Jim Jarmusch,K5 International
383,HIDDEN FIGURES,93,93,Drama,Jim Jarmusch,K5 International
384,BATTLESHIP POTEMKIN,100,85,Drama,Jim Jarmusch,K5 International
385,ANATOMY OF A MURDER,100,90,Drama,Jim Jarmusch,K5 International
386,ROOM,94,93,Drama,Lenny Abrahamson,Element Pictures
387,GONE WITH THE WIND,92,93,Drama,Victor Fleming,Loew's Inc.
388,BEFORE MIDNIGHT,98,82,Drama,Victor Fleming,Loew's Inc.
389,THE SEARCHERS,100,88,Western,John Ford,Warner Bros. Pictures
390,NIGHTCRAWLER,95,85,Mystery & Suspense,Dan Gilroy,Open Road Films
391,STAR TREK,94,91,Drama,J.J. Abrams,IMAX
392,THINGS TO COME (L'AVENIR),100,70,Art House & International,Mia Hansen-Løve,IFC Films
393,IT'S A WONDERFUL LIFE,94,95,Drama,Frank Capra,Liberty Films
394,LA DOLCE VITA,97,90,Drama,Federico Fellini,American International Picture
395,HER,95,82,Drama,Spike Jonze,Warner Bros. Pictures
397,SCHINDLER'S LIST,97,97,Drama,Steven Spielberg,Universal Pictures
398,TO BE OR NOT TO BE,98,93,Drama,Ernst Lubitsch,United Artists
399,DOUBLE INDEMNITY,96,95,Drama,Billy Wilder,Paramount Pictures
400,LET THE RIGHT ONE IN,98,90,Drama,Tomas Alfredson,Magnet/Magnolia Pictures
403,THE AFRICAN QUEEN,98,86,Drama,John Huston,Twentieth Century Fox Home Entertainment
404,LOVE & FRIENDSHIP,97,60,Drama,Whit Stillman,Roadside Attractions
405,BEAUTY AND THE BEAST (LA BELLE ET LA BÊTE),95,90,Drama,Jean Cocteau,Lopert Pictures
406,ONCE UPON A TIME IN THE WEST,98,95,Western,Sergio Leone,Paramount Pictures
407,MUDBOUND,97,85,Drama,Dee Rees,Netflix
408,MR. TURNER,97,56,Drama,Mike Leigh,Sony Pictures Classics
410,APOCALYPSE NOW,96,94,Drama,Irvin Kershner,Twentieth Century Fox
412,LA GRANDE ILLUSION (GRAND ILLUSION),97,92,Drama,Fritz Lang,Paramount Pictures
413,THE BATTLE OF ALGIERS (LA BATTAGLIA DI ALGERI),99,95,Drama,Fritz Lang,Paramount Pictures
419,THE CONFORMIST,100,91,Art House & International,Jean-Pierre Melville,Rialto Pictures LLC.
422,THE CABINET OF DR. CALIGARI (DAS CABINET DES DR. CALIGARI),100,89,Horror,Jordan Peele,Universal Pictures
423,"NOSFERATU, A SYMPHONY OF HORROR (NOSFERATU, EINE SYMPHONIE DES GRAUENS) (NOSFERATU THE VAMPIRE)",97,87,Horror,Jordan Peele,Universal Pictures
428,IT FOLLOWS,97,66,Horror,David Robert Mitchell,Radius-TWC
431,NIGHT OF THE LIVING DEAD,97,87,Horror,George A. Romero,Continental Distributing Inc.
432,THE WITCH,91,57,Horror,Robert Eggers,A24 Films
433,PAN'S LABYRINTH,95,91,Drama,Guillermo del Toro,Picturehouse
434,EVIL DEAD 2: DEAD BY DAWN,98,89,Drama,Guillermo del Toro,Picturehouse
435,THE BIRDS,96,83,Drama,Guillermo del Toro,Picturehouse
436,THE SILENCE OF THE LAMBS,95,95,Mystery & Suspense,Jonathan Demme,Orion Pictures Corporation
437,GOJIRA,93,89,Action & Adventure,Ishir Honda,Rialto Pictures
438,HALLOWEEN,95,89,Mystery & Suspense,John Carpenter,Compass International Pictures
439,DON'T LOOK NOW,96,77,Horror,Nicolas Roeg,Paramount Pictures
440,THE VANISHING (SPOORLOOS),98,88,Drama,George Sluizer,20th Century Fox
441,THE INNOCENTS,96,86,Horror,Jack Clayton,Fox
442,THE CABIN IN THE WOODS,91,74,Mystery & Suspense,Drew Goddard,Lionsgate Films
443,A GIRL WALKS HOME ALONE AT NIGHT,96,75,Horror,Ana Lily Amirpour,Vice Films
444,DRAG ME TO HELL,92,62,Mystery & Suspense,Sam Raimi,Universal Pictures
445,INVASION OF THE BODY SNATCHERS,94,81,Horror,Philip Kaufman,MGM Home Entertainment
446,CARRIE,93,76,Horror,Brian DePalma,United Artists
447,THE EVIL DEAD,95,84,Science Fiction & Fantasy,Sam Raimi,New Line Cinema
448,YOUNG FRANKENSTEIN,93,92,Horror,Mel Brooks,20th Century Fox
449,RE-ANIMATOR,95,82,Horror,Mel Brooks,20th Century Fox
450,THE LOVED ONES,98,74,Horror,Mel Brooks,20th Century Fox
451,TRAIN TO BUSAN (BUSANHAENG),96,88,Action & Adventure,Yeon Sang-ho,Redpeter Film
452,NOSFERATU: PHANTOM DER NACHT (NOSFERATU THE VAMPYRE),94,83,Art House & International,Werner Herzog,20th Century Fox
453,THE LOVE WITCH,95,60,Drama,Anna Biller,Oscilloscope Laboratories
454,ROOM 237,94,55,Documentary,Rodney Ascher,IFC Films
455,A NIGHTMARE ON ELM STREET,94,83,Mystery & Suspense,Wes Craven,New Line Cinema
456,THE HOST,93,72,Drama,Bong Joon Ho,Magnolia Pictures
457,THE FLY,92,83,Drama,David Cronenberg,Fox
458,SHAUN OF THE DEAD,92,93,Action & Adventure,Edgar Wright,Focus Features
459,ZOMBIELAND,90,86,Horror,Ruben Fleischer,Sony/Columbia Pictures
460,DRACULA,91,81,Classics,Tod Browning,Universal Pictures
461,WHAT EVER HAPPENED TO BABY JANE?,92,92,Drama,Robert Aldrich,Warner Bros. Pictures
462,IT COMES AT NIGHT,87,44,Drama,Trey Edward Shults,A24
463,DAWN OF THE DEAD,93,90,Drama,Trey Edward Shults,A24
464,PHANTOM OF THE OPERA,91,83,Drama,Trey Edward Shults,A24
465,DON'T BREATHE,88,78,Drama,Trey Edward Shults,A24
466,WE ARE STILL HERE,95,48,Drama,Trey Edward Shults,A24
467,THE WICKER MAN,90,82,Drama,Robin Hardy,LionsGate Entertainment
468,THE TEXAS CHAINSAW MASSACRE,88,81,Classics,Tobe Hooper,Bryanston Pictures
469,FRANKENWEENIE,87,70,Classics,Tobe Hooper,Bryanston Pictures
470,THE BLAIR WITCH PROJECT,87,56,Classics,Tobe Hooper,Bryanston Pictures
471,THE CONJURING,86,83,Mystery & Suspense,James Wan,Warner Bros. Pictures
472,THE EXORCIST,86,87,Classics,William Friedkin,Warner Bros. Pictures
473,THE DEAD ZONE,90,76,Horror,David Cronenberg,Paramount Pictures
474,LET ME IN,87,76,Drama,Matt Reeves,Overture Films
475,28 DAYS LATER,87,85,Drama,Matt Reeves,Overture Films
476,MISERY,89,89,Drama,Rob Reiner,Columbia Pictures
477,THE SHINING,86,93,Drama,Stanley Kubrick,Warner Bros. Pictures
478,CRONOS,90,70,Drama,Guillermo del Toro,Trimark
479,BONE TOMAHAWK,90,73,Western,S. Craig Zahler,Image Entertainment
480,THE ORPHANAGE,87,86,Drama,J.A. Bayona,Picturehouse
481,THE DEVIL'S CANDY,91,64,Drama,Sean Byrne,IFC Midnight
482,GERALD'S GAME,90,72,Drama,Mike Flanagan,Netflix
483,CHRONICLE,86,71,Drama,Mike Flanagan,Netflix
484,AN AMERICAN WEREWOLF IN LONDON,88,85,Horror,John Landis,Universal Pictures
485,NEAR DARK,88,74,Western,Kathryn Bigelow,Lions Gate Films
486,POLTERGEIST,86,78,Horror,Tobe Hooper,MGM Home Entertainment
487,HENRY: PORTRAIT OF A SERIAL KILLER,86,71,Drama,John McNaughton,GreyCat Films
488,THE DESCENT,85,75,Horror,Neil Marshall,Lionsgate
489,THE OMEN,86,80,Horror,Richard Donner,20th Century Fox
490,GINGER SNAPS,89,78,Horror,Richard Donner,20th Century Fox
491,SLITHER,86,63,Horror,James Gunn (II),Universal Pictures
492,THE AUTOPSY OF JANE DOE,87,69,Art House & International,André Ovredal,IFC Films
493,A FIELD IN ENGLAND,88,58,Drama,Ben Wheatley,Drafthouse Films
494,BACKCOUNTRY,89,54,Drama,Adam MacDonald,IFC Films
495,ALTERED STATES,86,71,Drama,Adam MacDonald,IFC Films
496,"GOODNIGHT MOMMY (ICH SEH, ICH SEH)",85,65,Drama,Veronika Franz,Radius-TWC
497,THE HOUSE OF THE DEVIL,87,63,Horror,Ti West,Magnolia Pictures
498,SPRING,88,70,Horror,Aaron Moorhead,Drafthouse Films
499,GREMLINS,84,78,Horror,Joe Dante,Warner Bros. Pictures
500,PARANORMAL ACTIVITY,83,56,Mystery & Suspense,Oren Peli,Paramount Pictures
501,THE THING,83,92,Mystery & Suspense,Oren Peli,Paramount Pictures
502,WE ARE WHAT WE ARE,86,49,Drama,Jim Mickle,Entertainment One
503,THEY LIVE,84,79,Drama,John Carpenter,MCA/Universal Pictures
504,BEETLEJUICE,84,82,Horror,Tim Burton,Warner Bros. Pictures
505,THE CONJURING 2,79,81,Horror,James Wan,Warner Bros. Pictures
506,DRESSED TO KILL,84,74,Horror,James Wan,Warner Bros. Pictures
507,THE OTHERS,83,77,Mystery & Suspense,Alejandro Amenábar,Miramax Films
508,SANTA SANGRE,85,87,Drama,Alejandro Jodorowsky,Republic Pictures Home Video
509,I AM NOT YOUR NEGRO,98,83,Documentary,Raoul Peck,Magnolia Pictures
510,MAN ON WIRE,100,87,Documentary,James Marsh,Magnolia Pictures
511,LIFE ITSELF,97,88,Documentary,Steve James (II),Magnolia Pictures
512,20 FEET FROM STARDOM,99,82,Musical & Performing Arts,Morgan Neville,Radius-TWC
513,THE LAST WALTZ,98,94,Musical & Performing Arts,Martin Scorsese,MGM
514,AMY,95,87,Documentary,Asif Kapadia,A24 Films
515,TAXI TO THE DARK SIDE,100,89,Documentary,Asif Kapadia,A24 Films
516,KEDI,98,84,Documentary,Asif Kapadia,A24 Films
519,THE THIRD MAN,99,93,Mystery & Suspense,Carol Reed,Rialto Pictures
524,BADLANDS,98,91,Drama,Terrence Malick,Warner Bros. Pictures
525,THE MANCHURIAN CANDIDATE,98,90,Drama,John Frankenheimer,MGM/UA Classics
526,EYES WITHOUT A FACE,98,87,Drama,John Frankenheimer,MGM/UA Classics
527,THE CONVERSATION,98,90,Drama,John Frankenheimer,MGM/UA Classics
529,GOLDFINGER,97,89,Animation,Clyde Geronimi,Buena Vista
530,SUNRISE: A SONG OF TWO HUMANS,98,92,Animation,Clyde Geronimi,Buena Vista
531,EYE IN THE SKY,95,83,Animation,Clyde Geronimi,Buena Vista
532,ALL IS LOST,94,63,Animation,Clyde Geronimi,Buena Vista
533,CASINO ROYALE,94,89,Mystery & Suspense,Martin Campbell,Sony
534,NO COUNTRY FOR OLD MEN,93,86,Drama,Joel Coen,Miramax Films
535,BLOOD SIMPLE,94,88,Drama,Joel Coen,Miramax Films
536,LOOPER,93,82,Drama,Joel Coen,Miramax Films
537,THE BIRDS,96,83,Horror,Alfred Hitchcock,Universal Pictures
538,THE FUGITIVE,96,89,Drama,Andrew Davis,Warner Bros. Pictures
541,WHO FRAMED ROGER RABBIT,97,84,Action & Adventure,Robert Zemeckis,Buena Vista Distribution Compa
542,BRIDGE OF SPIES,91,87,Mystery & Suspense,Steven Spielberg,Dreamworks Pictures
543,MAD MAX 2: THE ROAD WARRIOR,98,85,Action & Adventure,George Miller,Warner Bros. Pictures
544,DIVA,98,86,Drama,Jean-Jacques Beineix,Rialto Pictures
545,ONE FALSE MOVE,98,75,Drama,Carl Franklin,Sony Pictures Home Entertainment
546,JURASSIC PARK,91,91,Action & Adventure,Steven Spielberg,Universal City Studios
549,ELEVATOR TO THE GALLOWS (ASCENSEUR POUR L'ÉCHAFAUD),93,91,Drama,Louis Malle,Rialto Pictures
551,EX MACHINA,92,86,Drama,Alex Garland,A24 Films
555,THREE COLORS: BLUE (TROIS COULEURS: BLEU),98,93,Drama,Krzysztof Kieslowski,Miramax Films
556,IN THE HEAT OF THE NIGHT,96,92,Drama,Norman Jewison,MGM
557,BLUE RUIN,96,79,Drama,Norman Jewison,MGM
558,CLOSE ENCOUNTERS OF THE THIRD KIND,95,85,Action & Adventure,Steven Spielberg,Sony Pictures Releasing
559,THE KILLER,98,92,Action & Adventure,Steven Spielberg,Sony Pictures Releasing
562,BLUE VELVET,94,88,Mystery & Suspense,David Lynch,MGM
563,TO CATCH A THIEF,95,84,Romance,Alfred Hitchcock,Paramount Pictures
564,THE IMITATION GAME,90,91,Mystery & Suspense,Morten Tyldum,The Weinstein Company
565,L'AVVENTURA,95,88,Mystery & Suspense,Morten Tyldum,The Weinstein Company
567,GONE GIRL,87,87,Mystery & Suspense,David Fincher,20th Century Fox
568,DIABOLIQUE (LES DIABOLIQUES),95,93,Mystery & Suspense,Henri-Georges Clouzot,Kino Lorber Inc.
570,WILD TALES,95,92,Drama,Damián Szifron,Sony Pictures Classics
571,10 CLOVERFIELD LANE,89,79,Drama,Dan Trachtenberg,Bad Robot Productions
572,CHILDREN OF MEN,92,85,Drama,Alfonso Cuarón,Universal Pictures
573,THE CRYING GAME,95,78,Drama,Alfonso Cuarón,Universal Pictures
575,MISSION: IMPOSSIBLE GHOST PROTOCOL,93,76,Mystery & Suspense,Brad Bird,Paramount Studios
576,THE DARK KNIGHT RISES,87,90,Drama,Christopher Nolan,Warner Bros. Pictures
581,PINOCCHIO,100,72,Drama,Damien Chazelle,Liongate Films
584,YELLOW SUBMARINE,97,84,Romance,Howard Hawks,20th Century Fox
585,THE UMBRELLAS OF CHERBOURG (LES PARAPLUIES DE CHERBOURG),98,87,Romance,Howard Hawks,20th Century Fox
586,BEAUTY AND THE BEAST,94,92,Romance,Howard Hawks,20th Century Fox
589,SOME LIKE IT HOT,96,94,Drama,John Huston,United Artists
592,SING STREET,95,92,Drama,John Carney,Likely Story
593,ONCE,97,91,Musical & Performing Arts,John Carney,Fox Searchlight
594,ANVIL! THE STORY OF ANVIL,98,90,Musical & Performing Arts,John Carney,Fox Searchlight
596,WEST SIDE STORY,94,84,Drama,Robert Wise,United Artists Films
597,WASTE LAND,100,90,Documentary,Lucy Walker,Arthouse Films
598,AMADEUS,94,95,Musical & Performing Arts,Milos Forman,Warner Bros. Pictures
599,AFGHAN STAR,100,76,Documentary,Havana Marking,Zeitgeist Films
600,HAIRSPRAY,98,80,Drama,John Waters,New Line Home Entertainment
601,SOUND CITY,100,90,Musical & Performing Arts,Dave Grohl,Variance Films
602,WE ARE THE BEST!,96,78,Drama,Lukas Moodysson,Magnolia Pictures
603,EVERYDAY SUNSHINE: THE STORY OF FISHBONE,100,85,Musical & Performing Arts,Chris Metzler,Pale Griot Films
604,MY FAIR LADY,96,90,Kids & Family,George Cukor,Warner Bros. Pictures
605,BILL CUNNINGHAM NEW YORK,99,92,Musical & Performing Arts,Richard Press,Zeitgeist Films
606,WHAT'S LOVE GOT TO DO WITH IT?,96,88,Musical & Performing Arts,Brian Gibson,Touchstone Pictures
607,ALADDIN,94,92,Musical & Performing Arts,Brian Gibson,Touchstone Pictures
608,BEWARE OF MR. BAKER,98,86,Musical & Performing Arts,Jay Bulger,Independent Films
609,KEEP ON KEEPIN' ON,98,88,Musical & Performing Arts,Alan Hicks,Radius-TWC
610,WORDPLAY,95,80,Documentary,Patrick Creadon,IFC Films
611,MUSCLE SHOALS,96,89,Documentary,Greg 'Freddy' Camalier,Magnolia Pictures
612,THE FULL MONTY,96,79,Musical & Performing Arts,Peter Cattaneo,Twentieth Century Fox Home Entertainment
613,MARLEY,95,90,Documentary,Kevin Macdonald,Magnolia Pictures
614,SEARCHING FOR SUGAR MAN,94,92,Documentary,Kevin Macdonald,Magnolia Pictures
615,HAIRSPRAY,91,84,Musical & Performing Arts,Adam Shankman,New Line Cinema
616,LES PLAGES D'AGNÈS (THE BEACHES OF AGNES),96,88,Documentary,Agnès Varda,Cinema Guild
617,EXIT THROUGH THE GIFT SHOP,95,91,Documentary,Banksy,Abarorama
618,"20,000 DAYS ON EARTH",95,78,Documentary,Iain Forsyth,Drafthouse Films
619,NASHVILLE,92,84,Drama,Robert Altman,Paramount Pictures
620,CRUMB,95,89,Drama,Robert Altman,Paramount Pictures
622,MARINA ABRAMOVIC: THE ARTIST IS PRESENT,96,89,Musical & Performing Arts,Matthew Akers,Music Box Films
623,LOS ANGELES PLAYS ITSELF,96,85,Documentary,Thom Andersen,Submarine Entertainment
624,49 UP,95,86,Documentary,Michael Apted,First Run Features
625,STRAIGHT OUTTA COMPTON,88,91,Documentary,Michael Apted,First Run Features
626,LAGAAN: ONCE UPON A TIME IN INDIA,95,93,Drama,Mansoor Khan,B4U Entertainment
627,HEDWIG AND THE ANGRY INCH,93,93,Drama,John Cameron Mitchell,New Line Cinema
628,CRAZY HEART,90,76,Drama,John Cameron Mitchell,New Line Cinema
629,MY KID COULD PAINT THAT,94,78,Documentary,Amir Bar-Lev,Sony Pictures Classics
630,END OF THE CENTURY: THE STORY OF THE RAMONES,95,93,Documentary,Jim Fields,Magnolia Pictures
631,THE WRECKING CREW,94,84,Musical & Performing Arts,Denny Tedesco,Magnolia Pictures
632,WILLY WONKA AND THE CHOCOLATE FACTORY,91,86,Classics,Mel Stuart,Paramount Pictures
633,DAVE CHAPPELLE'S BLOCK PARTY,92,73,Documentary,Michel Gondry,Rogue Pictures
634,THE SAPPHIRES,91,76,Drama,Wayne Blair,The Weinstein Company
635,U2 3D,93,92,Musical & Performing Arts,Catherine Owens,National Geographic
636,TANGLED,89,87,Musical & Performing Arts,Catherine Owens,National Geographic
637,A BAND CALLED DEATH,94,85,Musical & Performing Arts,Jeff Howlett,Drafthouse Films
638,FLORENCE FOSTER JENKINS,87,68,Drama,Stephen Frears,BBC Films
639,THE SOUND OF MUSIC,86,91,Drama,Robert Wise,20th Century-Fox
640,SCRATCH,93,93,Musical & Performing Arts,Doug Pray,Palm Pictures
641,F FOR FAKE,88,89,Documentary,Orson Welles,Saguenay Films
642,SHINE,91,90,Musical & Performing Arts,Scott Hicks,New Line Home Entertainment
643,CAESAR MUST DIE,92,73,Documentary,Paolo Taviani,Adopt Films
644,SID AND NANCY,87,76,Musical & Performing Arts,Alex Cox,New Line Cinema
645,FIVE EASY PIECES,87,84,Drama,Bob Rafelson,Columbia Pictures
646,BUENA VISTA SOCIAL CLUB,91,90,Musical & Performing Arts,Wim Wenders,Artisan Entertainment
