title,imdb_user_rating,imdb_critic_rating
Halloween (2018),7.3,67
A Star Is Born (2018),8.3,88
Venom (2018),7,35
Goosebumps 2: Haunted Halloween (2018),6,53
First Man (2018),7.7,84
The Hate U Give (2018),6.7,82
Smallfoot (2018),6.8,60
Night School (2018),5.5,43
Bad Times at the El Royale (2018),7.4,60
The Old Man & the Gun (2018),7.4,79
The House with a Clock in Its Walls (2018),6.2,57
Free Solo (2018),8.7,83
The Sisters Brothers (2018),7.2,78
Colette (2018),7,74
Crazy Rich Asians (2018),7.5,74
The Nun (2018),5.7,46
Beautiful Boy (2018),7.3,63
A Simple Favor (2018),7.1,67
Mid90s (2018),7.8,67
The Oath (2018),5.2,58
Incredibles 2 (2018),8,80
Can You Ever Forgive Me? (2018),7.2,88
The Meg (2018),5.9,46
Hotel Transylvania 3: Summer Vacation (2018),6.3,54
The Wife (2017),7.3,77
Peppermint (2018),6.6,29
The Predator (2018),5.9,48
Christopher Robin (2018),7.6,60
The Guilty (2018),7.8,82
The Happy Prince (2018),6.4,64
Alpha (2018),6.9,63
Ant-Man and the Wasp (2018),7.2,70
Fahrenheit 11/9 (2018),5.6,68
Slender Man (2018),3.1,30
White Boy Rick (2018),6.5,59
Studio 54 (2018),6.9,70
Mandy (2018),6.7,81
What They Had (2018),5.9,70
Unbroken: Path to Redemption (2018),5.8,38
Monsters and Men (2018),5.8,67
1945 (2017),7.3,75
Wings of Desire (1987),8.1,79
Searching (2018),7.8,71
"Love, Gilda (2018)",7,74
Matangi/Maya/M.I.A. (2018),7.7,68
"Juliet, Naked (2018)",6.9,67
Pick of the Litter (2018),7.6,67
Mad Max: Fury Road (2015),8.1,90
Wonder Woman (2017),7.5,76
Logan (2017),8.1,77
Star Wars: The Force Awakens (2015),8,81
Baby Driver (2017),7.6,86
Zootopia (2016),8,78
Seven Samurai (1954),8.7,98
Up (2009),8.3,88
Lawrence of Arabia (1962),8.3,100
War for the Planet of the Apes (2017),7.5,82
Spider-Man: Homecoming (2017),7.5,73
Captain America: Civil War (2016),7.8,75
Moana (2016),7.6,81
Aliens (1986),8.4,84
The Lego Movie (2014),7.8,83
WALL·E (2008),8.4,95
Star Wars: Episode IV - A New Hope (1977),8.6,90
Kubo and the Two Strings (2016),7.8,84
Mission: Impossible - Rogue Nation (2015),7.4,75
The African Queen (1951),7.9,91
The Avengers (2012),8.1,69
Star Wars: Episode V - The Empire Strikes Back (1980),8.8,82
The French Connection (1971),7.8,96
Hunt for the Wilderpeople (2016),7.9,81
Iron Man (2008),7.9,79
All Is Lost (2013),6.9,87
Assault on Precinct 13 (1976),7.4,89
No Country for Old Men (2007),8.1,91
The Lord of the Rings: The Two Towers (2002),8.7,87
Looper (2012),7.4,84
The Right Stuff (1983),7.9,91
The Fugitive (1993),7.8,87
"Crouching Tiger, Hidden Dragon (2000)",7.9,93
Who Framed Roger Rabbit (1988),7.7,83
One False Move (1992),7.2,87
Catch Me If You Can (2002),8.1,75
Sicario (2015),7.6,82
In the Line of Fire (1993),7.2,74
Dr. No (1962),7.3,78
Raiders of the Lost Ark (1981),8.5,85
X-Men: Days of Future Past (2014),8,75
From Russia with Love (1963),7.5,85
Apollo 13 (1995),7.6,77
Superman (1978),7.3,80
Embrace of the Serpent (2015),7.9,82
The Lord of the Rings: The Return of the King (2003),8.9,94
Close Encounters of the Third Kind (1977),7.7,90
The Curse of the Were-Rabbit (2005),7.5,87
The Bourne Ultimatum (2007),8,85
Spider-Man 2 (2004),7.3,83
Hero (2002),7.9,85
Enter the Dragon (1973),7.7,83
Drive (2011),7.8,78
Inside Out (2015),8.2,94
Snow White and the Seven Dwarfs (1937),7.6,95
Toy Story 3 (2010),8.3,92
Toy Story 2 (1999),7.9,88
Finding Nemo (2003),8.1,90
Pinocchio (1940),7.5,99
Finding Dory (2016),7.3,77
Toy Story (1995),8.3,95
Shaun the Sheep Movie (2015),7.4,81
Ratatouille (2007),8,96
Only Yesterday (1991),7.7,90
How to Train Your Dragon (2010),8.1,74
The Incredibles (2004),8,90
Yellow Submarine (1968),7.4,78
Chicken Run (2000),7,88
Beauty and the Beast (2017),7.2,65
My Life as a Zucchini (2016),7.8,85
101 Dalmatians (1996),5.7,49
The Nightmare Before Christmas (1993),8,82
"Monsters, Inc. (2001)",8.1,78
The Lego Batman Movie (2017),7.3,75
The Iron Giant (1999),8,85
Song of the Sea (2014),8.1,85
Tower (2016),8,92
The Lion King (1994),8.5,83
Anomalisa (2015),7.3,88
Your Name. (2016),8.4,79
Waltz with Bashir (2008),8,91
Persepolis (2007),8.1,90
The Red Turtle (2016),7.5,86
The Secret World of Arrietty (2010),7.6,80
Aladdin (1992),8,86
Ernest & Celestine (2012),7.9,86
Fantastic Mr. Fox (2009),7.8,83
Antz (1998),6.6,72
Frozen (2013),7.5,74
Ghost in the Shell (2017),6.4,52
Coraline (2009),7.7,80
How to Train Your Dragon 2 (2014),7.8,76
Big Hero 6 (2014),7.8,74
A Bug's Life (1998),7.2,77
Arthur Christmas (2011),7.1,69
Boy and the World (2013),7.6,80
Ponyo (2008),7.7,86
Bolt (2008),6.9,67
Tangled (2010),7.8,71
The Simpsons Movie (2007),7.3,80
Shrek (2001),7.9,84
Shrek 2 (2004),7.2,75
The Wind Rises (2013),7.8,83
Frankenweenie (2012),7,74
When Marnie Was There (2014),7.7,72
The Peanuts Movie (2015),7.1,67
Kung Fu Panda (2008),7.6,73
Rango (2011),7.2,75
Corpse Bride (2005),7.4,83
Sausage Party (2016),6.2,66
Mulan (1998),7.6,71
Lilo & Stitch (2002),7.2,73
The Emperor's New Groove (2000),7.3,70
Chico & Rita (2010),7.2,76
Puss in Boots (2011),6.6,65
Anastasia (1997),7.1,59
Brave (2012),7.1,69
Get Out (2017),7.7,84
All About Eve (1950),8.3,98
It Happened One Night (1934),8.1,87
Modern Times (1936),8.5,96
Singin' in the Rain (1952),8.3,99
The Big Sick (2017),7.6,86
A Hard Day's Night (1964),7.7,96
The Philadelphia Story (1940),8,96
La La Land (2016),8.1,93
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8.4,96
Cool Hand Luke (1967),8.1,91
Monty Python and the Holy Grail (1975),8.3,93
Paterson (2016),7.4,90
Before Midnight (2013),7.9,94
It's a Wonderful Life (1946),8.6,89
La Dolce Vita (1960),8.1,93
To Be or Not to Be (1942),8.2,86
Annie Hall (1977),8,92
Love & Friendship (2016),6.4,87
Mary Poppins (1964),7.8,88
The Artist (2011),7.9,89
The Nice Guys (2016),7.4,70
Paddington (2014),7.2,77
Spy (2015),7,75
Logan Lucky (2017),7,78
Airplane! (1980),7.8,78
The Player (1992),7.6,86
The Princess Bride (1987),8.1,77
Some Like It Hot (1959),8.3,97
Big (1988),7.3,73
Don't Think Twice (2016),6.7,83
Life of Brian (1979),8.1,75
Before Sunrise (1995),8.1,77
Back to the Future (1985),8.5,87
The Grand Budapest Hotel (2014),8.1,88
Groundhog Day (1993),8,72
Sideways (2004),7.5,94
Tangerine (2015),7.1,85
The Edge of Seventeen (2016),7.4,77
What We Do in the Shadows (2014),7.6,76
Bull Durham (1988),7.1,73
Moonrise Kingdom (2012),7.8,84
Sense and Sensibility (1995),7.7,84
Enough Said (2013),7,78
Lost in Translation (2003),7.8,89
Brazil (1985),8,88
Broadcast News (1987),7.2,84
The Band's Visit (2007),7.6,80
The Muppets (2011),7.1,75
The Wizard of Oz (1939),8,100
Citizen Kane (1941),8.4,100
The Third Man (1949),8.2,97
The Cabinet of Dr. Caligari (1920),8.1,81
Metropolis (1927),8.3,98
Casablanca (1942),8.5,100
Psycho (1960),8.5,97
Nosferatu (1922),8,80
King Kong (2005),7.2,81
The Adventures of Robin Hood (1938),8,97
North by Northwest (1959),8.3,98
Sunset Boulevard (1950),8.4,84
Rear Window (1954),8.5,100
Touch of Evil (1958),8.1,99
A Streetcar Named Desire (1951),8,96
Vertigo (1958),8.3,100
Rosemary's Baby (1968),8,96
Rebecca (1940),8.1,81
Frankenstein (2011),9,90
On the Waterfront (1954),8.2,88
The Grapes of Wrath (1940),8.1,95
Roman Holiday (1953),8.1,76
The Last Picture Show (1971),8.1,93
Chinatown (1974),8.2,92
Rio Bravo (1959),8,80
Sweet Smell of Success (1957),8.2,100
Invasion of the Body Snatchers (1978),7.4,75
Moonlight (2016),7.4,99
Spotlight (2015),8.1,93
Selma (2014),7.5,89
The Godfather (1972),9.2,100
Boyhood (2014),7.9,100
The Battle of Algiers (1966),8.1,95
Arrival (2016),7.9,81
12 Years a Slave (2013),8.1,96
Argo (2012),7.7,86
Gravity (2013),7.7,96
Alien (1979),8.5,83
Bicycle Thieves (1948),8.3,83
Taxi Driver (1976),8.3,94
Manchester by the Sea (2016),7.8,96
M (1931),8.4,84
The Treasure of the Sierra Madre (1948),8.3,99
Hell or High Water (2016),7.6,88
Army of Shadows (1969),8.2,99
The Night of the Hunter (1955),8,99
Brooklyn (2015),7.5,87
The Babadook (2014),6.8,86
The Conformist (1970),8.1,100
The Dark Knight (2008),9,84
The Wrestler (2008),7.9,81
L.A. Confidential (1997),8.3,90
Sorcerer (1977),7.8,68
Jaws (1975),8,87
Carol (2015),7.2,95
Creed (2015),7.6,82
Harry Potter and the Deathly Hallows: Part 2 (2011),8.1,87
The Hurt Locker (2008),7.6,94
The Godfather: Part II (1974),9,90
Whiplash (2014),8.5,88
Hidden Figures (2016),7.8,74
Room (2015),8.2,86
Gone with the Wind (1939),8.2,97
The Searchers (1956),8,80
Nightcrawler (2014),7.9,76
Star Trek ,8.3,83
Things to Come (2016),7,88
Her (2013),8,90
Schindler's List (1993),8.9,93
Double Indemnity (1944),8.3,95
Let the Right One In (2008),7.9,82
Once Upon a Time in the West (1968),8.5,80
Mudbound (2017),7.4,85
Mr. Turner (2014),6.8,94
Apocalypse Now (1979),8.5,94
It Follows (2014),6.9,83
Night of the Living Dead (1968),7.9,88
The Witch (2015),6.8,83
Pan's Labyrinth (2006),8.2,98
Evil Dead II (1987),7.8,69
The Birds (1963),7.7,87
The Silence of the Lambs (1991),8.6,85
Godzilla (2014),6.4,62
Don't Look Now (1973),7.3,73
The Innocents ,6.3,63
The Cabin in the Woods (2012),7,72
A Girl Walks Home Alone at Night (2014),7,81
Drag Me to Hell (2009),6.6,83
Carrie (1976),7.4,85
The Evil Dead (1981),7.5,70
Young Frankenstein (1974),8,80
Re-Animator (1985),7.2,72
The Loved Ones (2009),6.7,67
Train to Busan (2016),7.5,72
Nosferatu the Vampyre (1979),7.6,76
The Love Witch (2016),6.2,82
Room 237 (2012),6.2,80
A Nightmare on Elm Street (1984),7.5,76
The Host (2013),5.9,35
The Fly (1986),7.5,79
Shaun of the Dead (2004),7.9,76
Zombieland (2009),7.7,73
Bram Stoker's Dracula (1992),7.5,57
What Ever Happened to Baby Jane? (1962),8.1,81
It Comes at Night (2017),6.2,78
Dawn of the Dead (2004),7.3,59
The Phantom of the Opera (1925),7.7,77
Don't Breathe (2016),7.1,71
We Are Still Here (2015),5.7,65
The Wicker Man (1973),7.6,87
The Texas Chain Saw Massacre (1974),7.5,75
The Blair Witch Project (1999),6.4,81
The Conjuring (2013),7.5,68
The Exorcist (1973),8,82
The Dead Zone (1983),7.2,69
Let Me In (2010),7.1,79
28 Days Later... (2002),7.6,73
Misery (1990),7.8,75
The Shining (1980),8.4,63
Cronos (1993),6.7,70
Bone Tomahawk (2015),7.1,72
The Orphanage (2007),7.5,74
The Devil's Candy (2015),6.4,72
Gerald's Game (2017),6.6,77
Chronicle (2012),7.1,69
An American Werewolf in London (1981),7.6,60
Near Dark (1987),7,70
Poltergeist (1982),7.4,79
Henry: Portrait of a Serial Killer (1986),7,80
The Descent (2005),7.2,71
The Omen (1976),7.6,62
Ginger Snaps (2000),6.8,70
Slither (2006),6.5,69
The Autopsy of Jane Doe (2016),6.8,65
A Field in England (2013),6.3,73
Backcountry (2014),6,62
Altered States (1980),6.9,58
Goodnight Mommy (2014),6.7,81
The House of the Devil (2009),6.4,73
Spring (2014),6.7,70
Gremlins (1984),7.2,70
Paranormal Activity (2007),6.3,68
The Thing (1982),8.1,57
We Are What We Are (2013),5.9,71
They Live (1988),7.3,52
Beetlejuice (1988),7.5,69
The Conjuring 2 (2016),7.4,65
Dressed to Kill (1980),7.1,74
The Others (2001),7.6,74
I Am Not Your Negro (2016),7.8,95
Man on Wire (2008),7.8,89
Life Itself (2018),5.8,21
20 Feet from Stardom (2013),7.4,83
The Last Waltz (1978),8.2,88
Judging Amy ,7,70
Taxi to the Dark Side (2007),7.5,82
The Cat in the Hat (2003),3.8,19
Into the Badlands ,8.1,81
The Manchurian Candidate (2004),6.6,76
Eyes Without a Face (1960),7.8,90
The Conversation (1974),7.9,86
Goldfinger (1964),7.7,87
Eye in the Sky (2015),7.3,73
Casino Royale (2006),8,80
Blood Simple. (1984),7.6,81
Bridge of Spies (2015),7.6,81
The Road Warrior (1981),7.6,77
Burlesque (2010),6.4,47
Jurassic Park (1993),8.1,68
Elevator to the Gallows (1958),8,94
Ex Machina (2014),7.7,78
Three Colors: Blue (1993),8,85
In the Heat of the Night ,7.5,75
Blue Ruin (2013),7.1,77
Blue Velvet (1986),7.8,76
To Catch a Thief (1955),7.5,75
The Imitation Game (2014),8,73
Gone Girl (2014),8.1,79
Wild Tales (2014),8.1,77
10 Cloverfield Lane (2016),7.2,76
Children of Men (2006),7.9,84
The Crying Game (1992),7.3,90
The Dark Knight Rises (2012),8.4,78
The Umbrellas of Cherbourg (1964),7.9,86
Sing Street (2016),8,79
Once (2007),7.9,88
Anvil: The Story of Anvil (2008),7.9,82
West Side Story (1961),7.6,86
Waste Land (2010),7.9,78
Amadeus (1984),8.3,93
Afghan Star (2009),7.3,78
Hairspray (2007),6.7,81
Sound City (2013),7.8,76
We Are the Best! (2013),7.2,87
Everyday Sunshine: The Story of Fishbone (2010),7.6,69
My Fair Lady (1964),7.9,79
Bill Cunningham: New York (2010),7.9,76
Beware of Mr. Baker (2012),7.7,78
Keep on Keepin' On (2014),7.7,77
Wordplay (2006),7.4,73
Muscle Shoals (2013),7.7,75
The Full Monty (1997),7.2,75
Marley (2012),8,82
Searching for Sugar Man (2012),8.2,79
The Beaches of Agnès (2008),8,86
Exit Through the Gift Shop (2010),8,85
"20,000 Days on Earth (2014)",7.5,83
Nashville ,7.7,77
Crumb (1994),8,93
Marina Abramovic: The Artist Is Present (2012),7.9,74
Los Angeles Plays Itself (2003),8,86
49 Up (2005),8.2,84
Straight Outta Compton (2015),7.9,72
Lagaan: Once Upon a Time in India (2001),8.1,84
Hedwig and the Angry Inch (2001),7.8,85
Crazy Heart (2009),7.3,83
My Kid Could Paint That (2007),7.2,74
End of the Century (2003),8,74
Dave Chappelle's Block Party (2005),7.2,84
The Sapphires (2012),7.1,67
U2 3D (2007),8.4,83
A Band Called Death (2012),7.5,77
Florence Foster Jenkins (2016),6.8,71
The Sound of Music (1965),8,63
Scratch (2001),7.9,77
Shine (1996),7.7,87
Caesar Must Die (2012),7.3,77
Sid and Nancy (1986),7.1,76
Five Easy Pieces (1970),7.5,85
Buena Vista Social Club (1999),7.6,81
